0 f = 1.076145174982322e+14 Hz
1 f = 1.047857377751827e+14 Hz
2 f = 1.001678153213156e+14 Hz
3 f = 9.540482724062548e+13 Hz
4 f = 9.528393921827295e+13 Hz
5 f = 8.979562300346758e+13 Hz
6 f = 4.733974955325512e+13 Hz
7 f = 4.059419790598333e+13 Hz
8 f = 4.025571144339621e+13 Hz
9 f = 2.630523366391296e+13 Hz
10 f = 2.258188257545469e+13 Hz
11 f = 2.142135756087029e+13 Hz
12 f = 1.963221483005269e+13 Hz
13 f = 1.774636168135304e+13 Hz
14 f = 1.704521115170831e+13 Hz
15 f = 1.515935800300866e+13 Hz
16 f = 1.361199131689613e+13 Hz
17 f = 9.840285019496852e+12 Hz
18 f = 6.237821953391124e+12 Hz
19 f = 5.778447468451467e+12 Hz
20 f = 5.439961005864353e+12 Hz
21 f = 4.714632871749105e+12 Hz
22 f = 4.497034431514532e+12 Hz
23 f = 4.206903177868432e+12 Hz
24 f = 4.182725573397924e+12 Hz
25 f = 3.868416715281317e+12 Hz
26 f = 3.312331812459628e+12 Hz
27 f = 2.998022954343021e+12 Hz
28 f = 2.998022954343021e+12 Hz
29 f = 2.998022954343021e+12 Hz
30 f = 2.998022954343021e+12 Hz
31 f = 2.998022954343021e+12 Hz
32 f = 2.998022954343021e+12 Hz
