0 f = 1.057286643495325e+14 Hz
1 f = 1.021987340968383e+14 Hz
2 f = 9.131881208510959e+13 Hz
3 f = 9.023081988393672e+13 Hz
4 f = 8.754710578771031e+13 Hz
5 f = 7.345156238140402e+13 Hz
6 f = 4.908053707513172e+13 Hz
7 f = 4.325373439773923e+13 Hz
8 f = 4.284271512174059e+13 Hz
9 f = 4.255258386809448e+13 Hz
10 f = 4.078761874174738e+13 Hz
11 f = 3.399371188553458e+13 Hz
12 f = 3.295407489330272e+13 Hz
13 f = 2.971427589425462e+13 Hz
14 f = 2.949667745402004e+13 Hz
15 f = 2.519306385826958e+13 Hz
16 f = 1.697267833829678e+13 Hz
17 f = 1.615063978629950e+13 Hz
18 f = 1.544948925665476e+13 Hz
19 f = 1.407136580183579e+13 Hz
20 f = 7.954431870797208e+12 Hz
21 f = 6.721374042801289e+12 Hz
22 f = 5.996045908686042e+12 Hz
23 f = 5.053119334336221e+12 Hz
24 f = 4.980586520924696e+12 Hz
25 f = 4.255258386809449e+12 Hz
26 f = 3.940949528692842e+12 Hz
27 f = 3.626640670576235e+12 Hz
28 f = 2.998022954343021e+12 Hz
29 f = 2.998022954343021e+12 Hz
30 f = 2.998022954343021e+12 Hz
31 f = 2.998022954343021e+12 Hz
32 f = 2.998022954343021e+12 Hz
