0 f = 1.112169805643379e+14 Hz
1 f = 9.912817832908377e+13 Hz
2 f = 9.571913609874209e+13 Hz
3 f = 9.112539124934553e+13 Hz
4 f = 9.020664227946623e+13 Hz
5 f = 8.771634901900388e+13 Hz
6 f = 4.750899278454868e+13 Hz
7 f = 4.332626721115075e+13 Hz
8 f = 4.272182709938805e+13 Hz
9 f = 4.214156459209585e+13 Hz
10 f = 4.127117083115755e+13 Hz
11 f = 3.365522542294746e+13 Hz
12 f = 3.288154207989120e+13 Hz
13 f = 2.935161182719700e+13 Hz
14 f = 2.381494040345061e+13 Hz
15 f = 2.366987477662756e+13 Hz
16 f = 2.151806797875233e+13 Hz
17 f = 1.789142730817609e+13 Hz
18 f = 1.213715744419513e+13 Hz
19 f = 1.129094128772735e+13 Hz
20 f = 1.085574440725820e+13 Hz
21 f = 1.022712669102498e+13 Hz
22 f = 7.640123012680603e+12 Hz
23 f = 7.204926132211453e+12 Hz
24 f = 5.705914655039943e+12 Hz
25 f = 5.536671423746386e+12 Hz
26 f = 5.077296938806729e+12 Hz
27 f = 4.714632871749105e+12 Hz
28 f = 4.569567244926056e+12 Hz
29 f = 3.747528692928776e+12 Hz
30 f = 3.336509416930137e+12 Hz
31 f = 2.998022954343021e+12 Hz
32 f = 2.998022954343021e+12 Hz
33 f = 2.998022954343021e+12 Hz
34 f = 2.998022954343021e+12 Hz
35 f = 2.998022954343021e+12 Hz
